date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:30	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1618836529-ssl-df	https://coroawareness.netlify.app/robots.txt		(from )
14:33:31	15838/15838	---MCZ	200	added ('OK')	text/html	etag:%22e1d3d812af289f3fb0af027a7e3991e0-ssl-df%22	https://coroawareness.netlify.app/	C:/Users/user/Desktop/coro/coroawareness.netlify.app/index.html	(from )
14:33:32	79820/79820	---MCZ	200	added ('OK')	text/css	etag:%223078c7a74df13c99a2186a2b836135b9-ssl-df%22	https://coroawareness.netlify.app/fonts/icomoon/style.css	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/icomoon/style.css	(from https://coroawareness.netlify.app/)
14:33:32	218383/218383	---MCZ	200	added ('OK')	text/css	etag:%22fa9af02f128b194cb4eecf2874b8060e-ssl-df%22	https://coroawareness.netlify.app/css/bootstrap.min.css	C:/Users/user/Desktop/coro/coroawareness.netlify.app/css/bootstrap.min.css	(from https://coroawareness.netlify.app/)
14:33:33	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1618836529-ssl-df	https://coroawareness.netlify.app/fonts/flaticon/font/flaticon.css	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/flaticon/font/flaticon.2.delayed	(from https://coroawareness.netlify.app/)
14:33:34	1525/1525	---M-Z	200	added ('OK')	text/css	etag:%229b36845b292e0f86671fa9e9711a9011-ssl-df%22	https://coroawareness.netlify.app/fonts/flaticon-covid/font/flaticon.css	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/flaticon-covid/font/flaticon.css	(from https://coroawareness.netlify.app/)
14:33:35	33945/33945	---MCZ	200	added ('OK')	text/css	etag:%221af0f5e5ee84be847b15a39b0333361a-ssl-df%22	https://coroawareness.netlify.app/css/style.css	C:/Users/user/Desktop/coro/coroawareness.netlify.app/css/style.css	(from https://coroawareness.netlify.app/)
14:33:36	15838/15838	---MCZ	200	added ('OK')	text/html	etag:%22e1d3d812af289f3fb0af027a7e3991e0-ssl-df%22	https://coroawareness.netlify.app/index.html	C:/Users/user/Desktop/coro/coroawareness.netlify.app/index-2.html	(from https://coroawareness.netlify.app/)
14:33:37	9577/9577	---MCZ	200	added ('OK')	text/html	etag:%22da5a8c7e63728dc1bfe9765305244999-ssl-df%22	https://coroawareness.netlify.app/symptoms.html	C:/Users/user/Desktop/coro/coroawareness.netlify.app/symptoms.html	(from https://coroawareness.netlify.app/)
14:33:37	9129/9129	---MCZ	200	added ('OK')	text/html	etag:%2213502b5406585771c1aa7f39e81fa4ca-ssl-df%22	https://coroawareness.netlify.app/about.html	C:/Users/user/Desktop/coro/coroawareness.netlify.app/about.html	(from https://coroawareness.netlify.app/)
14:33:38	7764/7764	---MCZ	200	added ('OK')	text/html	etag:%2274ac5912c8e5f3931cae8ed827676b61-ssl-df%22	https://coroawareness.netlify.app/contact.html	C:/Users/user/Desktop/coro/coroawareness.netlify.app/contact.html	(from https://coroawareness.netlify.app/)
14:33:40	142394/142394	---M--	200	added ('OK')	image/png	etag:%22fdd88fef71d6ec5034f18315a9f53530-ssl%22	https://coroawareness.netlify.app/images/illustration.png	C:/Users/user/Desktop/coro/coroawareness.netlify.app/images/illustration.png	(from https://coroawareness.netlify.app/)
14:33:41	74017/74017	---M--	200	added ('OK')	image/png	etag:%229502d6a33ac95ba9ef20dc477fd01634-ssl%22	https://coroawareness.netlify.app/images/protect.png	C:/Users/user/Desktop/coro/coroawareness.netlify.app/images/protect.png	(from https://coroawareness.netlify.app/)
14:33:41	633392/633392	---M--	200	added ('OK')	image/jpeg	etag:%222d051661312b120c0c6edfbd0e291760-ssl%22	https://coroawareness.netlify.app/images/hero_1.jpg	C:/Users/user/Desktop/coro/coroawareness.netlify.app/images/hero_1.jpg	(from https://coroawareness.netlify.app/)
14:33:42	14880/14880	---M--	200	added ('OK')	image/png	etag:%228f10726974f06d9cc5dbbd8cef63ee9e-ssl%22	https://coroawareness.netlify.app/images/symptom_high-fever.png	C:/Users/user/Desktop/coro/coroawareness.netlify.app/images/symptom_high-fever.png	(from https://coroawareness.netlify.app/)
14:33:42	14533/14533	---M--	200	added ('OK')	image/png	etag:%22b9e687a000b29c46f4ff3963150a6da6-ssl%22	https://coroawareness.netlify.app/images/symptom_cough.png	C:/Users/user/Desktop/coro/coroawareness.netlify.app/images/symptom_cough.png	(from https://coroawareness.netlify.app/)
14:33:43	15562/15562	---M--	200	added ('OK')	image/png	etag:%2212f47f3b8566a30fe798468ff8143354-ssl%22	https://coroawareness.netlify.app/images/symptom_sore-troath.png	C:/Users/user/Desktop/coro/coroawareness.netlify.app/images/symptom_sore-troath.png	(from https://coroawareness.netlify.app/)
14:33:44	17181/17181	---M--	200	added ('OK')	image/png	etag:%222497f14ec44a715c180661cfcdfa62bd-ssl%22	https://coroawareness.netlify.app/images/symptom_headache.png	C:/Users/user/Desktop/coro/coroawareness.netlify.app/images/symptom_headache.png	(from https://coroawareness.netlify.app/)
14:33:45	86926/86926	---MCZ	200	added ('OK')	application/javascript	etag:%220c51bc49fc083b861f0573d5951b6dd8-ssl-df%22	https://coroawareness.netlify.app/js/jquery-3.3.1.min.js	C:/Users/user/Desktop/coro/coroawareness.netlify.app/js/jquery-3.3.1.min.js	(from https://coroawareness.netlify.app/)
14:33:46	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:%222013c87fb61a69d0b9e42aa0973084b4-ssl-df%22	https://coroawareness.netlify.app/js/bootstrap.min.js	C:/Users/user/Desktop/coro/coroawareness.netlify.app/js/bootstrap.min.js	(from https://coroawareness.netlify.app/)
14:33:46	14244/14244	---MCZ	200	added ('OK')	application/javascript	etag:%22b465a5b3872bef9344d20a2fb6c3bfa2-ssl-df%22	https://coroawareness.netlify.app/js/aos.js	C:/Users/user/Desktop/coro/coroawareness.netlify.app/js/aos.js	(from https://coroawareness.netlify.app/)
14:33:47	8047/8047	---MCZ	200	added ('OK')	application/javascript	etag:%22d84da7a5bf3e7de91583b8aea098d0ef-ssl-df%22	https://coroawareness.netlify.app/js/main.js	C:/Users/user/Desktop/coro/coroawareness.netlify.app/js/main.js	(from https://coroawareness.netlify.app/)
14:33:48	307332/307332	---MCZ	200	added ('OK')	application/octet-stream	etag:%229c4f0cf4bb42abfdfbb6dff78bfaa99b-ssl-df%22	https://coroawareness.netlify.app/fonts/icomoon/fonts/icomoon.eot?10si43	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/icomoon/fonts/icomoon1a44.eot	(from https://coroawareness.netlify.app/fonts/icomoon/style.css)
14:33:49	307168/307168	---M--	200	added ('OK')	font/ttf	etag:%22f43dab0f9d0ef33c08a709cc23511098-ssl%22	https://coroawareness.netlify.app/fonts/icomoon/fonts/icomoon.ttf?10si43	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://coroawareness.netlify.app/fonts/icomoon/style.css)
14:33:50	307244/307244	---MCZ	200	added ('OK')	application/font-woff	etag:%22faa13f31750ccb684e02fef1090f515b-ssl-df%22	https://coroawareness.netlify.app/fonts/icomoon/fonts/icomoon.woff?10si43	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/icomoon/fonts/icomoon1a44.woff	(from https://coroawareness.netlify.app/fonts/icomoon/style.css)
14:33:51	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:%22eae4d9b85e9a99e89e2d6b763f54f506-ssl-df%22	https://coroawareness.netlify.app/fonts/icomoon/fonts/icomoon.svg?10si43	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/icomoon/fonts/icomoon1a44.svg	(from https://coroawareness.netlify.app/fonts/icomoon/style.css)
14:33:52	4658/4658	---MCZ	200	added ('OK')	application/octet-stream	etag:%22d340082c8f2d4617ed4203a9f27aa232-ssl-df%22	https://coroawareness.netlify.app/fonts/flaticon-covid/font/Flaticon.eot	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/flaticon-covid/font/Flaticon.eot	(from https://coroawareness.netlify.app/fonts/flaticon-covid/font/flaticon.css)
14:33:53	4658/4658	---M-Z	200	added ('OK')	application/octet-stream	etag:%22d340082c8f2d4617ed4203a9f27aa232-ssl-df%22	https://coroawareness.netlify.app/fonts/flaticon-covid/font/Flaticon.eot?	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/flaticon-covid/font/Flaticond41d.eot	(from https://coroawareness.netlify.app/fonts/flaticon-covid/font/flaticon.css)
14:33:54	2224/2224	---M--	200	added ('OK')	font/woff2	etag:%2201a5e180aeee959b99d1402bd3564489-ssl%22	https://coroawareness.netlify.app/fonts/flaticon-covid/font/Flaticon.woff2	C:/Users/user/Desktop/coro/coroawareness.netlify.app/fonts/flaticon-covid/font/Flaticon.woff2	(from https://coroawareness.netlify.app/fonts/flaticon-covid/font/flaticon.css)
